timestamp,open,high,low,close,volume
2026-02-26T09:05:00+00:00,87.4,87.67,87.38,87.63,2051.14831779
2026-02-26T09:10:00+00:00,87.64,88.69,87.63,88.37,24071.1725911
2026-02-26T09:15:00+00:00,88.35,88.39,88.06,88.14,4683.59839545
2026-02-26T09:20:00+00:00,88.15,88.19,88.06,88.09,2556.7886259
2026-02-26T09:25:00+00:00,88.08,88.12,87.91,87.96,2119.59324237
2026-02-26T09:30:00+00:00,87.95,88.15,87.88,88.15,1275.94792572
2026-02-26T09:35:00+00:00,88.15,88.43,88.1,88.35,5451.52257559
2026-02-26T09:40:00+00:00,88.34,88.37,88.18,88.3,1911.36656071
2026-02-26T09:45:00+00:00,88.31,88.4,88.23,88.32,1754.75171582
2026-02-26T09:50:00+00:00,88.32,88.38,88.21,88.35,1326.6589892
2026-02-26T09:55:00+00:00,88.34,88.45,88.31,88.33,1543.01278643
2026-02-26T10:00:00+00:00,88.33,88.51,88.31,88.41,1710.13663603
2026-02-26T10:05:00+00:00,88.41,88.55,88.31,88.47,2367.5490215
2026-02-26T10:10:00+00:00,88.47,88.59,87.99,88.01,9641.66511514
2026-02-26T10:15:00+00:00,88.01,88.02,87.84,87.94,8871.09094844
2026-02-26T10:20:00+00:00,87.93,87.93,87.77,87.89,5631.2201477
2026-02-26T10:25:00+00:00,87.9,87.92,87.67,87.67,2053.9778801
2026-02-26T10:30:00+00:00,87.67,87.77,87.44,87.63,2412.84350382
2026-02-26T10:35:00+00:00,87.64,87.73,87.6,87.66,740.71286396
2026-02-26T10:40:00+00:00,87.66,87.69,87.47,87.69,5860.33527922
2026-02-26T10:45:00+00:00,87.67,87.73,87.39,87.43,1922.09604857
2026-02-26T10:50:00+00:00,87.42,87.43,87.29,87.39,2933.5014219
2026-02-26T10:55:00+00:00,87.39,87.54,87.34,87.48,2475.03431156
2026-02-26T11:00:00+00:00,87.47,87.57,87.38,87.57,1893.16032523
