timestamp,open,high,low,close,volume
2026-02-24T09:35:00+00:00,63067.37,63089.98,62917.86,63047.86,32.59579515
2026-02-24T09:40:00+00:00,63044.01,63189.7,63040.01,63132.01,9.46880512
2026-02-24T09:45:00+00:00,63132,63138.5,63025.83,63130.62,27.15446011
2026-02-24T09:50:00+00:00,63130.62,63246.54,63124.96,63208.18,17.80189771
2026-02-24T09:55:00+00:00,63208.17,63241.3,63162.16,63240.37,8.21091165
2026-02-24T10:00:00+00:00,63240.37,63240.37,63145,63175.69,21.54313786
2026-02-24T10:05:00+00:00,63175.69,63207.72,63101.6,63178.73,18.22314889
2026-02-24T10:10:00+00:00,63178.73,63274.99,63141.06,63206.71,10.70321839
2026-02-24T10:15:00+00:00,63206.71,63262.41,63142.45,63254.37,12.94584696
2026-02-24T10:20:00+00:00,63254.37,63292.39,63244.81,63252.76,20.86076526
2026-02-24T10:25:00+00:00,63252.76,63304.04,63249.99,63260.82,10.68221974
2026-02-24T10:30:00+00:00,63260.81,63296.1,63174.64,63225.92,22.66324082
2026-02-24T10:35:00+00:00,63225.18,63272.71,63148,63160.01,17.03021099
2026-02-24T10:40:00+00:00,63160.02,63209.41,63134.56,63192,19.68425971
2026-02-24T10:45:00+00:00,63192.01,63213.36,63150.83,63173.75,10.40709913
2026-02-24T10:50:00+00:00,63173.75,63353.73,63173.75,63306.01,32.0792203
2026-02-24T10:55:00+00:00,63307.01,63308.71,63258.51,63270,13.09013894
2026-02-24T11:00:00+00:00,63274.7,63314.12,63264.58,63290.28,13.115055
2026-02-24T11:05:00+00:00,63290.29,63290.29,63170,63188.15,25.02296068
2026-02-24T11:10:00+00:00,63189.71,63232.2,63176,63185.78,9.93582339
2026-02-24T11:15:00+00:00,63185.79,63218.47,63170.02,63198.48,23.93202872
2026-02-24T11:20:00+00:00,63198.49,63209.61,63134.56,63156.66,8.67479624
2026-02-24T11:25:00+00:00,63156.67,63222.58,63114.43,63158.03,68.03587348
2026-02-24T11:30:00+00:00,63158.03,63167.99,63050,63126.69,29.25293078
2026-02-24T11:35:00+00:00,63126.68,63242.7,63063.64,63238.07,20.68337278
2026-02-24T11:40:00+00:00,63237.76,63240.86,63174.01,63183.24,31.26967105
2026-02-24T11:45:00+00:00,63183.24,63224.28,63127.13,63216,43.80146736
